name,rating,responses
Neath Port Talbot County Borough Council (Cyngor Bwrdeistref Sirol Castell-nedd Port Talbot),Amber,"1.     With regard to the Public Sector Equality Duty, does your
decision-making regarding the provision of food take into account the fact that veganism is a protected characteristic for the purpose of the
Equality Act 2010?

NPTCBC Response:  Yes

2.     How many vegan hot and cold meal options do you offer?

NPTCBC Response:   Daily hot option and additional hot option for
specifically requested vegan diet pupils in the school meal sector.

3.     In your own local authority canteen every day (if you have one)? 0, 1, 2, 3 or more. Please also express this as a proportion of the overall number of options offered?

NPTCBC Response:   NPTCBC do not have local authority canteens – n/a
 
4.     In external events catering (if applicable)? Eg: 0, 1, 2, 3 or
more.
Please also express this as a proportion of the overall number of options
offered?
 
NPTCBC Response:   n/a

5.     Is a requirement for providing vegan hot and cold meal options included within the catering procurement contracts you issue for other catering provision for which you are responsible including schools, leisure centres, care homes, libraries, and any other public buildings?

NPTCBC Response:   NPTCBC specify the need for sourcing and supplying vegan foods in the Education sector for School lunches.

6.     Has your organisation taken any action to reduce meat and dairy consumption in order to meet environmental goals?

·        If yes, please detail what actions have been taken, e.g. 100% or 50% plant-based food options offered.

·        If no, do you have ambitions to take action in this area, eg
through setting meat reduction targets? Yes/no, if yes please detail what ambitions you have set out?

NPTCBC Response:   Yes meat free days."
Powys County Council (Cyngor Sir Powys),Amber,"1.    With regard to the Public Sector Equality Duty, does your
decision-making regarding the provision of food take into account the fact that veganism is a protected characteristic for the purpose of the Equality Act 2010? - Yes

2.    How many vegan hot and cold meal options do you offer:
a.    In your own local authority canteen every day (if you have one)? 0, 1, 2, 3 or more. Please also express this as a proportion of the overall number of options offered. - The Authority’s canteen is only open 2 or 3 times a year with menu options changing each time it is opened. The meal options vary, however on average there are 2 vegan meal options offered on each occasion.

b.    In external events catering (if applicable)? Eg: 0, 1, 2, 3 or more. Please also express this as a proportion of the overall number of options
offered. - NA – external catering is not offered at present

3.    Is a requirement for providing vegan hot and cold meal options
included within the catering procurement contracts you issue for other catering provision for which you are responsible including schools, leisure centres, care homes, libraries, and any other public buildings? -
Yes

4.    Has your organisation taken any action to reduce meat and dairy consumption in order to meet environmental goals?  - No. However, a balanced diet is provided to pupils throughout the week and as a member of the Powys Food Partnership every effort is taken to procure goods locally, reduce food miles and support environmental goals where possible.

a.    If yes, please detail what actions have been taken, e.g. 100% or 50%plant-based food options offered.  – N/A

b.    If no, do you have ambitions to take action in this area, eg throughsetting meat reduction targets? – No, not at present
i.    if yes please detail what ambitions you have set out.  – N/A"
Rhondda Cynon Taf County Borough Council (Cyngor Bwrdeistref Sirol Rhondda Cynon Taf),Amber,"(Please note:  the following information is based on School Catering and Community Meals only) 


With regard to the Public Sector Equality Duty, does your decision-making regarding the provision of food take into account the fact that veganism is a protected characteristic for the purpose of the Equality Act 2010? 

YES

How many vegan hot and cold meal options do you offer:  

In your own local authority canteen every day (if you have one)? 0, 1, 2, 3 or more. Please also express this as a proportion of the overall number of options offered.  

Rhondda Cynon Taf Council do not have canteen provisions. 

In external events catering (if applicable)? Eg: 0, 1, 2, 3 or more.  
Please also express this as a proportion of the overall number of options offered.  

Catering Services do not provide external events catering, only buffets. Vegan options are provided, if specifically requested, and vegetarian food items are always provided as part of the menu. 

In schools, Catering Services offer a 2 week hot/cold vegan menu upon request. Our Community Meals Service has never received a request for a vegan meal, but a frozen vegan meal could be provided if requested. Vegetarian options are offered daily in schools (some of which are also vegan) and Community Meals.

Is a requirement for providing vegan hot and cold meal options included within the catering procurement contracts you issue for other catering provision for which you are responsible including schools, leisure centres, care homes, libraries, and any other public buildings?  Yes/No  

For Community/School Catering, our Procurement Section can source products from contracted suppliers, that are suitable for a range of menu options and would work with them to source a suitable vegan alternatives, to meet the menu requirement.

Has your organisation taken any action to reduce meat and dairy consumption in order to meet environmental goals?  

·        If yes, please detail what actions have been taken, e.g. 100% or 50% plant-based food options offered. 

·        If no, do you have ambitions to take action in this area, eg through setting meat reduction targets? Yes/no, if yes please detail what ambitions you have set out. 

All food procured and served within our school settings comply with the Welsh Governments Healthy Eating in Maintained Schools Wales Guidance.  Our school menus strive to strike a balance between vegetarian/vegan and meat choices, consequently we have changed our menu to offer a vegetarian choice, every day.  Also, we offer 2 portions of vegetables or salad in our lunch service to accompany the other food groups stipulated by the Eatwell Guide (protein, dairy, and carbohydrates).  
"
Aberdeen City Council,Amber,"1.       With regard to the Public Sector Equality Duty, does your
decision-making regarding the provision of food take into account the fact
that veganism is a protected characteristic for the purpose of the
Equality Act 2010? Yes/No

Yes

2.       How many vegan hot and cold meal options do you offer: 

a.       In your own local authority canteen every day (if you have one)?
0, 1, 2, 3 or more. Please also express this as a proportion of the
overall number of options offered.  

Not applicable. Currently, Aberdeen City Council’s canteen at Marischal
College is not operational.

b.    In external events catering (if applicable)? Eg: 0, 1, 2, 3 or more.
Please also express this as a proportion of the overall number of options
offered.  

For major city events on closed sites this varies due to private sector
provision and no records are retained. Officers ensure the provision of
vegan options at the point of selection or award.

The Art Gallery Café menu is 30% vegan with 8 vegan options. The soup of
the day is always vegan. Pre-ordered private catering at the venue always
includes vegan options of up to 100%.

Pre-ordered private catering at the Beach Ballroom and Civic Functions
always includes vegan options of up to 100%.

3.       Is a requirement for providing vegan hot and cold meal options
included within the catering procurement contracts you issue for other
catering provision for which you are responsible including schools,
leisure centres, care homes, libraries, and any other public buildings?
 Yes/No 

The Nutritional Requirements for Food and Drink in Schools (Scotland)
Regulations and the Better Eating Better Learning (BEBL) guidance set by
Scottish Government require school catering services to provide for pupils
with special dietary requirements as a result of a health care need. 

School catering is an inhouse service and all produce is procured via
Scotland Excel frameworks.

No menu requirements are outlined in the Art Gallery & Museums concession
agreement (2019), which was signed before the recognition of ethical
veganism as a protected characteristic.

4.       Has your organisation taken any action to reduce meat and dairy
consumption in order to meet environmental goals? 

a.       If yes, please detail what actions have been taken, e.g. 100% or
50% plant-based food options offered.

Many young people choose to make changes to their food intake in response
to their own beliefs and opinions. We as a Council cannot guarantee to
provide for all personal preferences, however through a varied menu,
choice will always be available.  All of our School Lunch menus have a
vegetarian choice daily.  The current Primary School menu has 27 out of 45
dishes vegetarian, which is 60 %, an increase of 6% on our previous menu,
this includes three days which are meat free days over the 3-week menu
cycle.  From the 27 dishes that are vegetarian 44% of these dishes are
suitable for vegans.  Vegan products such as mayonnaise and cheese have
been introduced into the kitchens store cupboards to allow them to easily
adapt recipes.   

Aberdeen City Council are also looking at changing from using vegetarian
products e.g. Quorn products, to their vegan alternatives for the main
menu.   We have extended the meat free days to once per week, and we have
developed a vegan menu, which will offer vegan alternatives each day
further complimenting the main menu. 

We ensure that all products procured are within the legal requirements of
the UK veterinary regulations. We also ensure that menus meet the healthy
choice and nutrition requirements set within curriculum for excellence
which is taught in schools. The Council strives to give a balanced choice
as per Aberdeen City Council and Scottish Government policies and
regulations.  In addition to this we also currently hold the Bronze award
for the Soil Associations Food for Life accreditation which covers
environmental issues by ensuring that the menus we provide meet a strict
criteria –

•                                  At least 75% of dishes on the menu are
freshly prepared

•                                  All meat is from farms which satisfy UK
animal welfare standards

•                                  No fish are served from the Marine
Conservation Society ‘fish to avoid’ list

•                                  Eggs are from free range hens

•                                  No undesirable additives or artificial
trans fats

•                                  No genetically modified (GM)
ingredients.

The Food and Drinks within Schools regulations which was implemented in
April 2021, required a reduction the volume of red and red processed meat
dishes across Scotland in all School meal settings, therefore reducing the
frequency in which these dishes can be served.  This has been fully
implemented and resulted in red or red processed meat dishes being on
offer a maximum of 3 times per week, which has resulted in a significant
reduction in what we may have provided previously.  All of our red meat is
purchased and produced by our local butcher, there are a limited number of
items on our menus which are processed, but such products still meet the
Food for Life Standards as listed above.

As you can appreciate our catering service strives to provide a healthy
nutritious menu for our children on a citywide basis where we try to
accommodate as many children as possible daily.  The service also does
endeavour to provide a wide and varied meal choice daily city wide within
a set budget for all our clients and we need to be realistic in the
decisions we make.  I am sure you can appreciate the difficulties that are
presented with such a wide audience and varying opinions.

Going forward we are always open for further suggestions in how we can try
and best accommodate everyone’s tastes taking account of the regulations
and where we can safely provide meal dishes within our operational
establishments.

b.       If no, do you have ambitions to take action in this area, eg
through setting meat reduction targets? Yes/no, if yes please detail what
ambitions you have set out. 

As per above in section 4a and the Council will continue to endeavour to
meet customer requests."
Aberdeenshire Council,Amber,"With regard to the Public Sector Equality Duty, does your decision-making
regarding the provision of food take into account the fact that veganism
is a protected characteristic for the purpose of the Equality Act 2010?
Yes/No 

Veganism is protected under the equality act 2010 since the 3^rd January
2020.  It is classified under law as a ‘Philosophical Belief’ which is one
of the nine protected characteristics listed, therefore yes it does, we
produce a full vegan menu for primary school as well as having vegan
option available daily in our academies.

How many vegan hot and cold meal options do you offer:

Our limited selection currently on offer does cover vegan options.

In your own local authority canteen every day (if you have one)? 0, 1, 2,
3 or more. Please also express this as a proportion of the overall number
of options offered?

Answered above, it is a very restricted service of any food options
currently.
In external events catering (if applicable)? Eg: 0, 1, 2, 3 or more. N/A

Please also express this as a proportion of the overall number of options
offered? N/A

Is a requirement for providing vegan hot and cold meal options included
within the catering procurement contracts you issue for other catering
provision for which you are responsible including schools, leisure
centres, care homes, libraries, and any other public buildings? ?Yes/No 

Yes

Has your organisation taken any action to reduce meat and dairy
consumption in order to meet environmental goals?

Yes

If yes, please detail what actions have been taken, e.g. 100% or 50%
plant-based food options offered.

We have a reduction of red and red processed meat on our school menus to
meet with the Scottish Nutritional Guidelines for food and drink in
schools.

If no, do you have ambitions to take action in this area, eg through
setting meat reduction targets? Yes/no, if yes please detail what
ambitions you have set out

N/A
"
Angus Council,Amber,"With regard to the Public Sector Equality Duty, does your decision-making
regarding the provision of food take into account the fact that veganism
is a protected characteristic for the purpose of the Equality Act 2010? 
Yes 
  
How many vegan hot and cold meal options do you offer:  
In your own local authority canteen every day (if you have one)? 0, 1, 2,
3 or more. Please also express this as a proportion of the overall number
of options offered.   
Angus Council do not have any local authority canteens.
 
In external events catering (if applicable)? Eg: 0, 1, 2, 3 or more.  
For any events we either directly run or commission, all dietary
requirements are asked for in advance.
 
Please also express this as a proportion of the overall number of options
offered.  
N/A
 
Is a requirement for providing vegan hot and cold meal options included
within the catering procurement contracts you issue for other catering
provision for which you are responsible including schools, leisure
centres, care homes, libraries, and any other public buildings? 
Yes - School meal menus have a Vegan option available most days, however,
a full Vegan menu can be provided for pupils on request. 
 
Our school meal menus are created by Tayside Contracts taking into account
the Nutritional Requirements for Food and Drink in Schools (Scotland)
Regulations 2020.

Has your organisation taken any action to reduce meat and dairy
consumption in order to meet environmental goals?  
Not at this time, but are reviewing our commissioning in 2023."
Argyll and Bute Council,Amber,"With regard to the Public Sector Equality Duty, does your decision-making
regarding the provision of food take into account the fact that veganism
is a protected characteristic for the purpose of the Equality Act 2010?
Yes

How many vegan hot and cold meal options do you offer: Our cafes offer a
range of vegan hot/cold options such as soup, salad boxes, sandwiches,
baked potatoes, vegan hot dogs and pastries and cakes available to
customers.

 In your own local authority canteen every day (if you have one)? 0, 1, 2,
3 or more.  2. Please also express this as a proportion of the overall
number of options offered. 1/5 of the menu is or an be vegan

 

In external events catering (if applicable)? Eg: 0, 1, 2, 3 or more. For
events we provide catering depending on customer requirements and ask
attendees to specify any allergies or dietary needs. We aim to provide
several vegan options, but it really depends on the type of catering ,
quantity etc.

Please also express this as a proportion of the overall number of options
offered.  

Is a requirement for providing vegan hot and cold meal options included
within the catering procurement contracts you issue for other catering
provision for which you are responsible including schools, leisure
centres, care homes, libraries, and any other public buildings?   N/A

 Has your organisation taken any action to reduce meat and dairy
consumption in order to meet environmental goals? No

·        If yes, please detail what actions have been taken, e.g. 100% or
50% plant-based food options offered.

·        If no, do you have ambitions to take action in this area, eg
through setting meat reduction targets? No, vegan options are available as
above for those that wish to choose them"
Comhairle nan Eilean Siar,Amber,"With regard to the Public Sector Equality Duty, does your decision-making regarding the provision of food take into account the fact that veganism is a protected characteristic for the purpose of the Equality Act 2010? 
Yes and we will cater for this diet on request

How many vegan hot and cold meal options do you offer:

Due to the size of the catering venue we offer I cooked and 1 uncooked – in addition have a wide variety of sandwiches and panini’s with vegan fillings.

In your own local authority canteen every day (if you have one)? 0, 1, 2, 3 or more.
2

In external events catering (if applicable)? Eg: 0, 1, 2, 3 or more.
Please also express this as a proportion of the overall number of options offered.  

All external catering events menu are on request

Is a requirement for providing vegan hot and cold meal options included within the
catering procurement contracts you issue for other catering provision for which you are responsible including schools, leisure centres, care homes, libraries, and any other public buildings? N/A  

Has your organisation taken any action to reduce meat and dairy consumption in order to meet environmental goals?·        If yes, please detail what actions have been taken, e.g. 100% or 50% plant-based
food options offered.

Yes, an email went out to all staff requesting information on their dietary preferences with a view to reduce the meat offer and increase the plant-based options.  Due to the limited numbers the cafeteria caters for this was found to be unviable – a hot and cold vegan main meal is on offer daily with a selection of salad, soups and sandwiches.

In addition the cafeteria has amended all food coverings, take away and cutlery options to meet our environmental goals.
We follow the Food & Drink in Schools (Scotland) Regulations 2020.


"
Dumfries and Galloway Council,Amber,"With regard to the Public Sector Equality Duty, does your decision-making regarding the provision of food take into account the fact that veganism is a protected characteristic for the purpose of the Equality Act 2010? Yes

How many vegan hot and cold meal options do you offer:
In your own local authority canteen every day (if you have one)? 0, 1, 2, 3 or more. Please also express this as a proportion of the overall number of options offered.?

There are vegan options available daily, a minimum of 1 hot and 1 cold.

In external events catering (if applicable)? Eg: 0, 1, 2, 3 or more.
Please also express this as a proportion of the overall number of options offered. ?

When liaising with the client, vegan options are always discussed or asked if required.

Is a requirement for providing vegan hot and cold meal options included within the catering procurement contracts you issue for other catering provision for which you are responsible including schools, leisure centres, care homes, libraries, and any other public buildings? ?Yes/No

No, however Dumfries and Galloway Council are part of the national buying consortium (Scot Excel) which allows access to significant options related to all diets.

Has your organisation taken any action to reduce meat and dairy consumption in order to meet environmental goals?
If yes, please detail what actions have been taken, e.g. 100% or 50% plant-based food options offered.

No.

If no, do you have ambitions to take action in this area, eg through setting meat reduction targets? Yes/no, if yes please detail what ambitions you have set out.

No, however, the reduction of red and red processed meat has been determined through the Scottish Governments Healthy Eating in Schools Legislation. The service has not further reduced meat or dairy offerings other than those stated in the legislation, but have incorporated plant based options to the menus to ensure we are offering choice to all."
East Ayrshire Council,Amber,"With regard to the Public Sector Equality Duty, does your decision-making
regarding the provision of food take into account the fact that veganism
is a protected characteristic for the purpose of the Equality Act 2010?
Yes/No
How many vegan hot and cold meal options do you offer: 

All soups are vegan.
Over the 3 week Primary/ECC Menu there are 14 vegan hot dishes

Over the 3 week Academy Menu,15 vegan hot dishes and 4 grab and go option which are available daily. 

In your own local authority canteen there is a salad bar suitable for
vegans. Staff canteen there is no salad bar 

External Catering-bespoke menu at point of ordering. All lifestyle choices
or dietary choices can be met on request

In your own local authority canteen every day (if you have one)? 0, 1, 2,
3 or more. Please also express this as a proportion of the overall number
of options offered.   2
In external events catering (if applicable)? Eg: 0, 1, 2, 3 or more.  N/A

Please also express this as a proportion of the overall number of options
offered.  
Is a requirement for providing vegan hot and cold meal options included
within the catering procurement contracts you issue for other catering
provision for which you are responsible including schools, leisure
centres, care homes, libraries, and any other public buildings?  We only
provide to school meals, staff canteen and some external catering so
Yes,   

Has your organisation taken any action to reduce meat and dairy
consumption in order to meet environmental goals? 
·        If yes, please detail what actions have been taken, e.g. 100% or
50% plant-based food options offered.

Our school meals come under the Healthy Eating in Schools Guidance
(Scottish Government) and we are Gold award holders of Food For Life, Soil
Association, these guidelines dictate our restrictions on red and
processed meat.

 ·        If no, do you have ambitions to take action in this area, eg
through setting meat reduction targets? As above.  "
East Dunbartonshire Council,Amber,"Q1.  With regard to the Public Sector Equality Duty, does your decision-making regarding the provision of food take into account the fact that veganism is a protected characteristic for the purpose of the Equality Act 2010?
Our decision making is based to support the inclusion of vegan menu options. 

Q2. How many vegan hot and cold meal options do you offer:  
Our school lunch menu includes one hot meal option and one cold meal option each day
 In your own local authority canteen every day (if you have one)? 0, 1, 2, 3 or more. Please also express this as a proportion of the overall number of options offered.  
N/A 

In external events catering (if applicable)? Eg: 0, 1, 2, 3 or more.  
Please also express this as a proportion of the overall number of options offered.   
N/A

Q3.  Is a requirement for providing vegan hot and cold meal options included within the catering procurement contracts you issue for other catering provision for which you are responsible including schools, leisure centres, care homes, libraries, and any other public buildings?  
This requirement is included within current framework arrangements regarding school meals.

Q4.  Has your organisation taken any action to reduce meat and dairy consumption in order to meet environmental goals?  
Action has recently been taken to reduce meat and dairy consumption with our school lunch menu.  A revised menu will be issued in May and will include a plant forward day once per week to reduce meat consumption and bring awareness of the benefits of eating a plant forward diet
"
East Lothian Council,Amber,"With regard to the Public Sector Equality Duty, does your decisionmaking regarding the provision of food take into account the fact that
veganism is a protected characteristic for the purpose of the Equality
Act 2010? Yes/No
Yes.
How many vegan hot and cold meal options do you offer:
8 choices over 3 weeks.
In your own local authority canteen every day (if you have one)? 0, 1,
2, 3 or more. Please also express this as a proportion of the overall
number of options offered. 
N/A.
In external events catering (if applicable)? Eg: 0, 1, 2, 3 or more.
Please also express this as a proportion of the overall number of
options offered.
N/A.
Is a requirement for providing vegan hot and cold meal options
included within the catering procurement contracts you issue for other
catering provision for which you are responsible including schools,
leisure centres, care homes, libraries, and any other public buildings?
Yes/No
N/A.
Has your organisation taken any action to reduce meat and dairy
consumption in order to meet environmental goals?
Yes.
·        If yes, please detail what actions have been taken, e.g. 100% or
50% plant-based food options offered.
We have included lentils into our meat dishes to reduce the meat content.
·        If no, do you have ambitions to take action in this area, eg through
setting meat reduction targets? Yes/no, if yes please detail what
ambitions you have set out.
N/A."
East Renfrewshire Council,Amber,"I have contacted our Procurement section and our Education Department and can answer as follows:

·         While a range of provision is made, I have no recorded
information as to whether this has been formally addressed with regard to
the Equality Act 2010.

·         We have no LA canteen

·         Catering within schools, etc., does have a mandatory vegan
option (For your information, I have included our primary school vegan
menu).

·         While a reduction in meat and dairy will indeed help towards
environmental goals, again I have no recorded information on this specific
area."
Falkirk Council,Amber,"1.	With regard to the Public Sector Equality Duty, does your decision-making regarding the provision of food take into account the fact that veganism is a protected characteristic for the purpose of the Equality Act 2010? 

Yes 

2.	How many vegan hot and cold meal options do you offer: 

In your own local authority canteen every day (if you have one)?  
1 to a maximum of 2 options 

Please also express this as a proportion of the overall number of options offered? 
c.30%. 
Note: The catering team are responsive to employees requests and can provide additional alternative vegan options where appropriate 

In external events catering (if applicable)? Eg: 0, 1, 2, 3 or more. 
Please also express this as a proportion of the overall number of options offered? 
Not applicable as the service does not cater for external events. 


3.	Is a requirement for providing vegan hot and cold meal options included within the catering procurement contracts you issue for other catering provision for which you are responsible including schools, leisure centres, care homes, libraries, and any other public buildings? 

Yes, within school meals  

4.	Has your organisation taken any action to reduce meat and dairy consumption in order to meet environmental goals? 

If yes, please detail what actions have been taken, e.g. 100% or 50% plant-based food options offered. 

If no, do you have ambitions to take action in this area, eg through setting meat reduction targets? 

•	No meat reduction targets have formally been set at this time. 
•	The overall configuration of meal/menu options is reviewed during our annual planning process and this takes account of emerging customer trends (i.e. increase demand for more plant based meals, School Food Standards legislation (reduction in red and processed meats) and local procurement agendas (Soil Association) 
"
Fife Council,Amber,". With regard to the Public Sector Equality Duty, does your
decision-making regarding the provision of food take into account the fact
that veganism is a protected characteristic for the purpose of the
Equality Act 2010?

Yes.

2. How many vegan hot and cold meal options do you offer:

a. In your own local authority canteen every day (if you have one) 0, 1,
2, 3 or more. Please also express this as a proportion of the overall
number of options offered.

Three vegan options per day (Hot 50%, Cold 10%)

2. In external events catering (if applicable)? Eg: 0, 1, 2, 3 or more.
Please also express this as a proportion of the overall number of options
offered.

21 items on the selection of which we can offer 11 vegan options (52%)

3. Is a requirement for providing vegan hot and cold meal options included
within the catering procurement contracts you issue for other catering
provision for which you are responsible including schools, leisure
centres, care homes, libraries, and any other public buildings?

N/a. All catering provision for our public buildings is carried out
internally by Fife Council Catering Services, therefore no procurement
contracts exist for external provision.

4. Has your organisation taken any action to reduce meat and dairy
consumption in order to meet environmental goals?

Yes.

If yes, please detail what actions have been taken, e.g. 100% or 50%
plant-based food options offered.

Our reduction in red meat was in line with the Scottish Government’s
Healthy eating in school guidance 2020.

If no, do you have ambitions to take action in this area, eg through
setting meat reduction targets? Yes/no, if yes please detail what
ambitions you have set out.

N/a."
Glasgow City Council,Amber,"With regard to the Public Sector Equality Duty, does your decision-making
regarding the provision of food take into account the fact that veganism is a
protected characteristic for the purpose of the Equality Act 2010? - Yes
How many vegan hot and cold meal options do you offer:
In your own local authority canteen every day (if you have one)? 0, 1, 2, 3 or more.
Please also express this as a proportion of the overall number of options offered. 
We do not have a local authority canteen. Accordingly, in terms of section 17(1) of the Act, which is a notification that recorded information is not held, the Council is unable to comply with this part of your request.
By way of assistance, we can advise that we have two cafés within our City Chambers complex where staff have the option of eating:
Ure Café in Councillor’s Corridor –
We have a minimum of one vegan option available every day. We operate a 4 weekly
menu cycle with vegan options featuring in the cycle of hot meals, soup, baked potatoes, sandwiches and salads. This means that on certain days we have up to 3 vegan options available. 20% - 40%
John Street Chambers East Café –
Soup, sandwiches and salads are available, the same menu cycle as Ure café, customers are free to use Ure café for additional vegan options.
In external events catering (if applicable)? E.g.: 0, 1, 2, 3 or more.
Please also express this as a proportion of the overall number of options offered.
This data is not recorded separately in the general terms that you have requested.
Accordingly, in terms of section 17(1) of the Act, the Council is unable to comply with this part of your request.
By way of assistance, we can advise that due to the substantial volume of widely varying events hosted within Glasgow, menu creation is designed taking into account all requirements requested by the organisers. Our Catering and Facilities management service operates a menu selector model for clients which includes vegan options, and fully supports all medical, ethical, moral and cultural dietary requests where possible.
4
Is a requirement for providing vegan hot and cold meal options included within the
catering procurement contracts you issue for other catering provision for which
you are responsible including schools, leisure centres, care homes, libraries, and
any other public buildings?
For the catering concession contracts procured by our Central Procurement Unit, the
Scope of Requirements includes a requirement that menus must be designed around the time of day and seasons to give choice and variety for a range of dietary and customer requirements including but not limited to vegetarian, children and specific diets for example vegan, gluten free, wheat free, dairy free, Halal, Kosher.
The wording below is included in the tender documents:
“It is a Glasgow City Council policy that each contract will now place greater emphasis on responses that clearly demonstrate that sustainable policies are in place and all importantly, clearly demonstrate evidence of actual sustainable practice. One of the key areas for consideration is menus that offer alternative choices including vegetarian / vegan / gluten free / halal etc with a greater emphasis on reducing the use of meat and dairy products.”
Has your organisation taken any action to reduce meat and dairy consumption in
order to meet environmental goals?
‘Meat Free Mondays’ have been applied to primary and early years menus as a standard. We are actively working towards the vegetarian options on school menus being vegan compliant where possible.
If yes, please detail what actions have been taken, e.g., 100% or 50% plant-based
food options offered.
We provide a dedicated vegan menu from early years pupils through to homes for life residents on request.
We fully engage with various vegan societies such as Hackney Future Trust, ProVeg,
TheVeganKind and work closely with the Soil Association to reduce meat content and replace with vegetables where recipes permit."
Midlothian Council,Amber,"With regard to the Public Sector Equality Duty, does your decision-making
regarding the provision of food take into account the fact that veganism
is a protected characteristic for the purpose of the Equality Act 2010?
Yes/No Yes 

How many vegan hot and cold meal options do you offer: Please see
attached menu for our schools

In your own local authority canteen every day (if you have one)? 0, 1, 2,
3 or more. Please also express this as a proportion of the overall number
of options offered.  Please see attached menu for our schools 

In external events catering (if applicable)? Eg: 0, 1, 2, 3 or more. Vegan
option available on request

Please also express this as a proportion of the overall number of options
offered.  N/A

 Is a requirement for providing vegan hot and cold meal options included
within the catering procurement contracts you issue for other catering
provision for which you are responsible including schools, leisure
centres, care homes, libraries, and any other public buildings?  Yes but I
only provide meals for schools

 Has your organisation taken any action to reduce meat and dairy
consumption in order to meet environmental goals? Yes

·        If yes, please detail what actions have been taken, e.g. 100% or
50% plant-based food options offered. We follow the Scottish Governments
Nutritional Guidelines for food and drink in schools.

·        If no, do you have ambitions to take action in this area, eg
through setting meat reduction targets? Yes/no, if yes please detail what
ambitions you have set out. N/A"
North Ayrshire Council,Amber,"Q1. With regard to the Public Sector Equality Duty, does your decision-making regarding the provision of food take into account the fact that veganism is a protected characteristic for the purpose of the Equality Act 2010? 

A1. Yes

Q2. How many vegan hot and cold meal options do you offer:

Q2a. In your own local authority canteen every day (if you have one)? 0, 1, 2, 3 or more. Please also express this as a proportion of the overall number of options offered. 

A2a. 2 options are offered daily (10 %) 

Q2b. In external events catering (if applicable)? Eg: 0, 1, 2, 3 or more. 

A2b. As requested for sit down meals, and 5% of any buffet events.

Q2c. Please also express this as a proportion of the overall number of options offered.  

A2c. 5% of options available for choice

Q3. Is a requirement for providing vegan hot and cold meal options included within the catering procurement contracts you issue for other catering provision for which you are responsible including schools, leisure centres, care homes, libraries, and any other public buildings?  

A3. Yes

Q4. Has your organisation taken any action to reduce meat and dairy consumption in order to meet environmental goals?

Q4a. If yes, please detail what actions have been taken, e.g. 100% or 50% plant-based food options offered. 

A4a. North Ayrshire Council have one meat free day a week in educational settings. 

Q4b. If no, do you have ambitions to take action in this area, eg through setting meat reduction targets?  if yes please detail what ambitions you have set out.

A4b. Please see response above. 
"
North Lanarkshire Council,Amber,"(1)               Yes.

 

(2)               For North Lanarkshire Council cafes, menus are on display and
meals suitable for vegans are indicated by (VE).  We currently have more than
four items clearly marked, all requests are made to order on site.  All of our
home baking range is vegan friendly with the exception of one item. 

 

(3)               External event menus are 25% vegan friendly.  However, this is
solely up to the customer requesting the event and the choice of options they
are paying for.

 

(4)               Yes, North Lanarkshire Council procure food through the local
authority buying consortium called Scotland Excel.  Many of the frameworks
include vegan products however this is not a separate lot. 

 

(5)               No.

 

(6)               Not applicable.

 

(7)               No.  North Lanarkshire Council comply with the Food and Drink
in Schools (Scotland) Regulations 2020 which dictates the maximum amount of red
and red processed meat in a week for school meals.  There are no plans to
decrease this further.

 

(8)               Not applicable."
